env_type,wind_power,turb_power,agent_type,avg_reward
baseline,5,1.0,random,-256.9858771919448
baseline,5,1.0,plas,177.97764901066193
out_of_dist,0,0.0,random,-234.22052095188158
out_of_dist,0,0.0,plas,176.3617711876803
out_of_dist,0,0.5,random,-170.4623439270675
out_of_dist,0,0.5,plas,168.2899769807979
out_of_dist,0,1.0,random,-306.5258059933231
out_of_dist,0,1.0,plas,143.41676182952023
out_of_dist,0,1.5,random,-295.2151469332539
out_of_dist,0,1.5,plas,160.93051255523307
out_of_dist,0,2.0,random,-440.58152472967845
out_of_dist,0,2.0,plas,176.93161537509934
out_of_dist,5,0.0,random,-240.60061319043854
out_of_dist,5,0.0,plas,160.56887379749418
out_of_dist,5,0.5,random,-226.46953932373472
out_of_dist,5,0.5,plas,130.53466883429857
out_of_dist,5,1.5,random,-321.9091506119165
out_of_dist,5,1.5,plas,147.65214405688496
out_of_dist,5,2.0,random,-365.8048319636662
out_of_dist,5,2.0,plas,148.76454594878453
out_of_dist,10,0.0,random,-245.52163402451123
out_of_dist,10,0.0,plas,144.85649417040761
out_of_dist,10,0.5,random,-231.54698118830532
out_of_dist,10,0.5,plas,112.82321537574067
out_of_dist,10,1.0,random,-247.60144808598034
out_of_dist,10,1.0,plas,161.00383141055394
out_of_dist,10,1.5,random,-344.018175124935
out_of_dist,10,1.5,plas,158.515429833837
out_of_dist,10,2.0,random,-366.60145108471426
out_of_dist,10,2.0,plas,134.1491580702331
out_of_dist,15,0.0,random,-212.03900045902037
out_of_dist,15,0.0,plas,79.04416264311331
out_of_dist,15,0.5,random,-219.86754528365992
out_of_dist,15,0.5,plas,136.29735040227914
out_of_dist,15,1.0,random,-295.8284656212143
out_of_dist,15,1.0,plas,125.21653742233063
out_of_dist,15,1.5,random,-321.93378783444194
out_of_dist,15,1.5,plas,136.07642427571534
out_of_dist,15,2.0,random,-385.42471915886006
out_of_dist,15,2.0,plas,107.96012009270241
out_of_dist,20,0.0,random,-252.72873970663056
out_of_dist,20,0.0,plas,72.41752559218028
out_of_dist,20,0.5,random,-189.18758311502626
out_of_dist,20,0.5,plas,94.43707357275471
out_of_dist,20,1.0,random,-307.7835109896503
out_of_dist,20,1.0,plas,43.7972318363777
out_of_dist,20,1.5,random,-327.8566381381616
out_of_dist,20,1.5,plas,93.63764516136831
out_of_dist,20,2.0,random,-394.9318887492173
out_of_dist,20,2.0,plas,65.56876513854247
